Ensembl_ID,Gene_Symbol,HNC_WGCNA_Module,OPSCC_WGCNA_Module,VSCC_WGCNA_Module,HNC_log2FC,OPSCC_log2FC,VSCC_log2FC,Stouffer_Score,SD,Included_in_35_Gene_Signature
ENSG00000260086,LOC105371240,Not in network,Not in network,Not in network,-2.56,-0.07,0,-5.19,4.24,No
ENSG00000211649,IGLV7-46,blue,brown,grey,5.71,0.01,0.01,5.18,4.74,No
ENSG00000211959,IGHV4-39,blue,brown,turquoise,5.05,0.08,0.02,5.18,3.71,No
ENSG00000272841,MAP3K4-AS1,turquoise,Not in network,Not in network,-2.44,-0.12,-0.05,-5.18,3.11,No
ENSG00000126561,STAT5A,Not in network,Not in network,Not in network,1.46,0.55,-0.01,5.17,3.46,No
ENSG00000179344,HLA-DQB1,blue,blue,grey,4.06,0.01,-0.03,5.17,6.25,No
ENSG00000129173,E2F8,turquoise,Not in network,brown,1.89,0.2,0.04,5.16,2.89,No
ENSG00000176014,TUBB6,turquoise,yellow,Not in network,-1.68,-0.96,-0.01,-5.16,2.88,No
ENSG00000154928,EPHB1,brown,brown,Not in network,2.18,2.22,0,5.15,2.59,No
ENSG00000162692,VCAM1,brown,brown,blue,3.79,0.12,-0.01,5.15,4.29,No
ENSG00000162849,KIF26B,turquoise,turquoise,Not in network,-2.16,-0.08,-0.04,-5.14,4.02,No
ENSG00000227496,LOC102723834,turquoise,turquoise,Not in network,-4.61,-0.01,0.04,-5.14,6.14,No
ENSG00000016391,CHDH,turquoise,yellow,green,3.27,0.12,0.06,5.13,2.5,No
ENSG00000169116,PARM1,brown,yellow,Not in network,3.99,0.07,0.03,5.13,3.77,No
ENSG00000173208,ABCD2,blue,Not in network,blue,2.59,1.59,-0.03,5.12,3.42,No
ENSG00000104722,NEFM,turquoise,black,grey,-3.36,-0.07,0.02,-5.11,3.86,No
ENSG00000138434,ITPRID2,turquoise,Not in network,Not in network,-1.69,-0.53,-0.07,-5.11,2.44,No
ENSG00000211941,IGHV3-11,blue,brown,red,3.49,2.72,0,5.11,2.43,No
ENSG00000075413,MARK3,Not in network,Not in network,Not in network,-1.28,-0.27,-0.02,-5.09,3.8,No
ENSG00000155962,CLIC2,turquoise,Not in network,grey,2.14,0.1,-0.01,5.09,4.85,No
ENSG00000183833,CFAP91,brown,yellow,Not in network,5.37,0.06,-0.01,5.09,4.8,No
ENSG00000198838,RYR3,brown,brown,grey,0.63,4.9,0.03,5.09,2.97,No
ENSG00000214212,C19orf38,blue,Not in network,Not in network,2.27,0.06,0.01,5.09,4.64,No
ENSG00000140564,FURIN,Not in network,Not in network,Not in network,-1.26,-0.72,-0.02,-5.08,2.36,No
ENSG00000167733,HSD11B1L,turquoise,Not in network,Not in network,1.78,0.34,0.03,5.08,3.02,No
ENSG00000203995,ZYG11A,turquoise,black,green,2.96,0.14,0.02,5.08,2.24,No
ENSG00000109381,ELF2,Not in network,Not in network,Not in network,0.95,0.34,0.02,5.07,3.37,No
ENSG00000171954,CYP4F22,yellow,green,grey,-3.54,-3.01,0.03,-5.07,3.9,No
ENSG00000226777,FAM30A,blue,brown,red,3.22,2.5,-0.02,5.07,3.05,No
ENSG00000072110,ACTN1,turquoise,brown,Not in network,-1.94,-1.29,-0.01,-5.06,2.47,No
ENSG00000132646,PCNA,Not in network,Not in network,brown,1.17,0.24,0.06,5.06,3.13,No
ENSG00000182585,EPGN,yellow,brown,grey,-2.93,-3.67,0,-5.06,2.74,No
ENSG00000177694,NAALADL2,turquoise,blue,grey,2.83,0.12,-0.01,5.05,4.54,No
ENSG00000101955,SRPX,turquoise,turquoise,grey,-4.18,-0.05,-0.01,-5.04,3.79,No
ENSG00000070404,FSTL3,turquoise,turquoise,grey,-2.55,-0.12,-0.03,-5.03,2.52,No
ENSG00000129514,FOXA1,turquoise,black,grey,3.83,0.07,0,5.03,4.33,No
ENSG00000132510,KDM6B,Not in network,Not in network,grey,-1.25,-0.54,-0.02,-5.03,2.94,No
ENSG00000164465,DCBLD1,turquoise,Not in network,Not in network,-1.92,-0.24,-0.07,-5.03,2.67,No
ENSG00000242147,LINC02677,blue,turquoise,grey,-3.03,-0.13,-0.02,-5.03,3.48,No
ENSG00000171916,LGALS9C,turquoise,yellow,grey,-3.78,-0.1,0.02,-5.02,4.73,No
ENSG00000188766,SPRED3,blue,brown,Not in network,-1.85,-1.42,-0.01,-5.02,2.42,No
ENSG00000101003,GINS1,Not in network,black,brown,1.14,0.16,0.07,5.01,3.15,No
ENSG00000132000,PODNL1,turquoise,turquoise,Not in network,-2.5,-0.16,0.01,-5.01,3.89,No
ENSG00000138696,BMPR1B,turquoise,brown,grey,-1.66,-0.16,-0.03,-5,2.49,No
ENSG00000167123,CERCAM,turquoise,turquoise,Not in network,-2.24,-0.16,0.01,-5,3.99,No
ENSG00000267374,MIR924HG,turquoise,grey,grey,3.06,0.01,0.02,5,4.32,No
ENSG00000291127,ANKRD36BP2,blue,brown,red,2.51,2.29,-0.01,5,2.8,No
